,Side,Type,Metric,Value
0,head,optimistic,adjusted_arithmetic_mean_rank_index,0.7635660870470975
1,tail,optimistic,adjusted_arithmetic_mean_rank_index,0.881823786761046
2,both,optimistic,adjusted_arithmetic_mean_rank_index,0.8251830084905537
3,head,realistic,adjusted_arithmetic_mean_rank_index,0.7635660789785883
4,tail,realistic,adjusted_arithmetic_mean_rank_index,0.8818237840293747
5,both,realistic,adjusted_arithmetic_mean_rank_index,0.8251830071448802
6,head,pessimistic,adjusted_arithmetic_mean_rank_index,0.7635660870470975
7,tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.881823786761046
8,both,pessimistic,adjusted_arithmetic_mean_rank_index,0.8251830084905537
9,head,optimistic,median_absolute_deviation,117.12557526194256
10,tail,optimistic,median_absolute_deviation,20.756431059078427
11,both,optimistic,median_absolute_deviation,50.40847542919047
12,head,realistic,median_absolute_deviation,117.12557526194256
13,tail,realistic,median_absolute_deviation,20.756431059078427
14,both,realistic,median_absolute_deviation,50.40847542919047
15,head,pessimistic,median_absolute_deviation,117.12557526194256
16,tail,pessimistic,median_absolute_deviation,20.756431059078427
17,both,pessimistic,median_absolute_deviation,50.40847542919047
18,head,optimistic,z_inverse_harmonic_mean_rank,113.53620800571039
19,tail,optimistic,z_inverse_harmonic_mean_rank,295.85497367489376
20,both,optimistic,z_inverse_harmonic_mean_rank,286.2924956643764
21,head,realistic,z_inverse_harmonic_mean_rank,113.53620815209212
22,tail,realistic,z_inverse_harmonic_mean_rank,295.85498496322265
23,both,realistic,z_inverse_harmonic_mean_rank,286.29251133349754
24,head,pessimistic,z_inverse_harmonic_mean_rank,113.53620800571039
25,tail,pessimistic,z_inverse_harmonic_mean_rank,295.85497367489376
26,both,pessimistic,z_inverse_harmonic_mean_rank,286.2924956643764
27,head,optimistic,z_arithmetic_mean_rank,56.18141653766298
28,tail,optimistic,z_arithmetic_mean_rank,65.26197061733276
29,both,optimistic,z_arithmetic_mean_rank,86.05895018302817
30,head,realistic,z_arithmetic_mean_rank,56.18141594400085
31,tail,realistic,z_arithmetic_mean_rank,65.26197041516735
32,both,realistic,z_arithmetic_mean_rank,86.05895004268689
33,head,pessimistic,z_arithmetic_mean_rank,56.18141653766298
34,tail,pessimistic,z_arithmetic_mean_rank,65.26197061733276
35,both,pessimistic,z_arithmetic_mean_rank,86.05895018302817
36,head,optimistic,harmonic_mean_rank,12.022738441699842
37,tail,optimistic,harmonic_mean_rank,5.009472063825948
38,both,optimistic,harmonic_mean_rank,7.072196804383312
39,head,realistic,harmonic_mean_rank,12.022738427022615
40,tail,realistic,harmonic_mean_rank,5.00947187657575
41,both,realistic,harmonic_mean_rank,7.07219642891769
42,head,pessimistic,harmonic_mean_rank,12.022738441699842
