,Side,Type,Metric,Value
0,head,optimistic,variance,8884365.923898783
1,tail,optimistic,variance,643453.0874378452
2,both,optimistic,variance,6454210.343417523
3,head,realistic,variance,8884368.0
4,tail,realistic,variance,643454.375
5,both,realistic,variance,6454213.0
6,head,pessimistic,variance,8884370.942039436
7,tail,pessimistic,variance,643455.7715552008
8,both,pessimistic,variance,6454215.9598093135
9,head,optimistic,median_rank,1671.0
10,tail,optimistic,median_rank,9.0
11,both,optimistic,median_rank,167.0
12,head,realistic,median_rank,1671.0
13,tail,realistic,median_rank,9.0
14,both,realistic,median_rank,167.0
15,head,pessimistic,median_rank,1671.0
16,tail,pessimistic,median_rank,9.0
17,both,pessimistic,median_rank,167.0
18,head,optimistic,inverse_median_rank,0.0005984440454817474
19,tail,optimistic,inverse_median_rank,0.1111111111111111
20,both,optimistic,inverse_median_rank,0.005988023952095809
21,head,realistic,inverse_median_rank,0.000598444021306932
22,tail,realistic,inverse_median_rank,0.1111111119389534
23,both,realistic,inverse_median_rank,0.005988024175167084
24,head,pessimistic,inverse_median_rank,0.0005984440454817474
25,tail,pessimistic,inverse_median_rank,0.1111111111111111
26,both,pessimistic,inverse_median_rank,0.005988023952095809
27,head,optimistic,z_arithmetic_mean_rank,114.44251050101732
28,tail,optimistic,z_arithmetic_mean_rank,172.05924282574978
29,both,optimistic,z_arithmetic_mean_rank,203.630148163184
30,head,realistic,z_arithmetic_mean_rank,114.44249289786941
31,tail,realistic,z_arithmetic_mean_rank,172.0592418301886
32,both,realistic,z_arithmetic_mean_rank,203.6301355681965
33,head,pessimistic,z_arithmetic_mean_rank,114.4424787825175
34,tail,pessimistic,z_arithmetic_mean_rank,172.05924082430505
35,both,pessimistic,z_arithmetic_mean_rank,203.63012490587647
36,head,optimistic,harmonic_mean_rank,60.748577080095906
37,tail,optimistic,harmonic_mean_rank,3.242005576306627
38,both,optimistic,harmonic_mean_rank,6.155506559578372
39,head,realistic,harmonic_mean_rank,60.74857891089741
40,tail,realistic,harmonic_mean_rank,3.242005743244451
41,both,realistic,harmonic_mean_rank,6.155506446422201
42,head,pessimistic,harmonic_mean_rank,60.7485818352635
43,tail,pessimistic,harmonic_mean_rank,3.2420055763118105
44,both,pessimistic,harmonic_mean_rank,6.1555065839990295
45,head,optimistic,inverse_harmonic_mean_rank,0.016461290915201487
46,tail,optimistic,inverse_harmonic_mean_rank,0.30845104256089056
47,both,optimistic,inverse_harmonic_mean_rank,0.16245616673804603
48,head,realistic,inverse_harmonic_mean_rank,0.016461290419101715
49,tail,realistic,inverse_harmonic_mean_rank,0.3084510266780853
50,both,realistic,inverse_harmonic_mean_rank,0.16245616972446442
51,head,pessimistic,inverse_harmonic_mean_rank,0.016461289626674334
52,tail,pessimistic,inverse_harmonic_mean_rank,0.3084510425603974
53,both,pessimistic,inverse_harmonic_mean_rank,0.1624561660935359
54,head,optimistic,adjusted_arithmetic_mean_rank_index,0.653361510404187
55,tail,optimistic,adjusted_arithmetic_mean_rank_index,0.9783462640099053
56,both,optimistic,adjusted_arithmetic_mean_rank_index,0.8206471423804892
57,head,realistic,adjusted_arithmetic_mean_rank_index,0.6533614099063978
58,tail,realistic,adjusted_arithmetic_mean_rank_index,0.9783462583490439
59,both,realistic,adjusted_arithmetic_mean_rank_index,0.8206470916215981
60,head,pessimistic,adjusted_arithmetic_mean_rank_index,0.6533613293207168
61,tail,pessimistic,adjusted_arithmetic_mean_rank_index,0.9783462526294882
62,both,pessimistic,adjusted_arithmetic_mean_rank_index,0.8206470486515245
63,head,optimistic,z_geometric_mean_rank,82.47390046082252
64,tail,optimistic,z_geometric_mean_rank,101.5121752587291
65,both,optimistic,z_geometric_mean_rank,141.0425503206323
66,head,realistic,z_geometric_mean_rank,82.4738926126851
67,tail,realistic,z_geometric_mean_rank,101.51217528470293
68,both,realistic,z_geometric_mean_rank,141.0425489995186
69,head,pessimistic,z_geometric_mean_rank,82.47388699767029
70,tail,pessimistic,z_geometric_mean_rank,101.51217525731244
71,both,pessimistic,z_geometric_mean_rank,141.0425493289623
72,head,optimistic,inverse_geometric_mean_rank,0.0008975518537478865
73,tail,optimistic,inverse_geometric_mean_rank,0.07915930872100017
74,both,optimistic,inverse_geometric_mean_rank,0.00842909154558989
75,head,realistic,inverse_geometric_mean_rank,0.0008975514792837203
76,tail,realistic,inverse_geometric_mean_rank,0.07915931940078735
77,both,realistic,inverse_geometric_mean_rank,0.008429087698459625
78,head,pessimistic,inverse_geometric_mean_rank,0.0008975512260963748
79,tail,pessimistic,inverse_geometric_mean_rank,0.07915930817354977
80,both,pessimistic,inverse_geometric_mean_rank,0.00842908856924106
81,head,optimistic,adjusted_inverse_harmonic_mean_rank,0.01582762287054255
82,tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.30803205087260077
83,both,optimistic,adjusted_inverse_harmonic_mean_rank,0.16193264023762124
84,head,realistic,adjusted_inverse_harmonic_mean_rank,0.015827622374123156
85,tail,realistic,adjusted_inverse_harmonic_mean_rank,0.3080320349801725
86,both,realistic,adjusted_inverse_harmonic_mean_rank,0.16193264322590636
87,head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.015827621581185235
