,Side,Type,Metric,Value
0,head,optimistic,inverse_median_rank,0.00784313725490196
1,tail,optimistic,inverse_median_rank,0.16666666666666666
2,both,optimistic,inverse_median_rank,0.043478260869565216
3,head,realistic,inverse_median_rank,0.007843137718737125
4,tail,realistic,inverse_median_rank,0.1666666716337204
5,both,realistic,inverse_median_rank,0.043478261679410934
6,head,pessimistic,inverse_median_rank,0.00784313725490196
7,tail,pessimistic,inverse_median_rank,0.16666666666666666
8,both,pessimistic,inverse_median_rank,0.043478260869565216
9,head,optimistic,z_arithmetic_mean_rank,54.334542447813234
10,tail,optimistic,z_arithmetic_mean_rank,72.08421907122816
11,both,optimistic,z_arithmetic_mean_rank,89.81429238414121
12,head,realistic,z_arithmetic_mean_rank,54.334542143031335
13,tail,realistic,z_arithmetic_mean_rank,72.08421911686852
14,both,realistic,z_arithmetic_mean_rank,89.81429169682879
15,head,pessimistic,z_arithmetic_mean_rank,54.334542447813234
16,tail,pessimistic,z_arithmetic_mean_rank,72.08421907122816
17,both,pessimistic,z_arithmetic_mean_rank,89.81429238414121
18,head,optimistic,harmonic_mean_rank,14.6345392867414
19,tail,optimistic,harmonic_mean_rank,2.8829098080900857
20,both,optimistic,harmonic_mean_rank,4.816917876367583
21,head,realistic,harmonic_mean_rank,14.634538466143127
22,tail,realistic,harmonic_mean_rank,2.882909781997468
23,both,realistic,harmonic_mean_rank,4.81691805480498
24,head,pessimistic,harmonic_mean_rank,14.6345392867414
25,tail,pessimistic,harmonic_mean_rank,2.8829098080900857
26,both,pessimistic,harmonic_mean_rank,4.816917876367583
27,head,optimistic,inverse_harmonic_mean_rank,0.06833149854645441
28,tail,optimistic,inverse_harmonic_mean_rank,0.34687176032832445
29,both,optimistic,inverse_harmonic_mean_rank,0.20760162943738947
30,head,realistic,inverse_harmonic_mean_rank,0.06833150237798691
31,tail,realistic,inverse_harmonic_mean_rank,0.3468717634677887
32,both,realistic,inverse_harmonic_mean_rank,0.2076016217470169
33,head,pessimistic,inverse_harmonic_mean_rank,0.06833149854645441
34,tail,pessimistic,inverse_harmonic_mean_rank,0.34687176032832445
35,both,pessimistic,inverse_harmonic_mean_rank,0.20760162943738947
36,head,optimistic,z_geometric_mean_rank,37.55801449672081
37,tail,optimistic,z_geometric_mean_rank,42.764429411216454
38,both,optimistic,z_geometric_mean_rank,58.94625616244179
39,head,realistic,z_geometric_mean_rank,37.55801574642303
40,tail,realistic,z_geometric_mean_rank,42.7644293948151
41,both,realistic,z_geometric_mean_rank,58.946256311697
42,head,pessimistic,z_geometric_mean_rank,37.55801449672081
43,tail,pessimistic,z_geometric_mean_rank,42.764429411216454
44,both,pessimistic,z_geometric_mean_rank,58.94625616244179
45,head,optimistic,inverse_geometric_mean_rank,0.011295951183772782
46,tail,optimistic,inverse_geometric_mean_rank,0.14928098256523653
47,both,optimistic,inverse_geometric_mean_rank,0.04106422642303816
48,head,realistic,inverse_geometric_mean_rank,0.011295953765511513
49,tail,realistic,inverse_geometric_mean_rank,0.14928098022937775
50,both,realistic,inverse_geometric_mean_rank,0.04106422886252403
51,head,pessimistic,inverse_geometric_mean_rank,0.011295951183772782
52,tail,pessimistic,inverse_geometric_mean_rank,0.14928098256523653
53,both,pessimistic,inverse_geometric_mean_rank,0.04106422642303816
54,head,optimistic,adjusted_inverse_harmonic_mean_rank,0.06419568142160645
55,tail,optimistic,adjusted_inverse_harmonic_mean_rank,0.34421028835749756
56,both,optimistic,adjusted_inverse_harmonic_mean_rank,0.20422837145914285
57,head,realistic,adjusted_inverse_harmonic_mean_rank,0.06419568527014768
58,tail,realistic,adjusted_inverse_harmonic_mean_rank,0.34421029150975496
59,both,realistic,adjusted_inverse_harmonic_mean_rank,0.2042283637360322
60,head,pessimistic,adjusted_inverse_harmonic_mean_rank,0.06419568142160645
61,tail,pessimistic,adjusted_inverse_harmonic_mean_rank,0.34421028835749756
62,both,pessimistic,adjusted_inverse_harmonic_mean_rank,0.20422837145914285
63,head,optimistic,count,1828.0
64,tail,optimistic,count,1828.0
65,both,optimistic,count,3656.0
66,head,realistic,count,1828.0
67,tail,realistic,count,1828.0
68,both,realistic,count,3656.0
69,head,pessimistic,count,1828.0
70,tail,pessimistic,count,1828.0
71,both,pessimistic,count,3656.0
72,head,optimistic,standard_deviation,289.43214258515314
73,tail,optimistic,standard_deviation,99.54767248452818
74,both,optimistic,standard_deviation,241.92572336492125
75,head,realistic,standard_deviation,289.43212890625
76,tail,realistic,standard_deviation,99.54767608642578
77,both,realistic,standard_deviation,241.92572021484375
78,head,pessimistic,standard_deviation,289.43214258515314
79,tail,pessimistic,standard_deviation,99.54767248452818
